Week Start,Top Song,Top Song Artist,Top Song Minutes,Total Minutes Played,Avg Tempo (Weighted),Avg Danceability (Weighted),Lowest Tempo Song,Lowest Tempo,Lowest Danceability Song,Lowest Danceability,Highest Tempo Song,Highest Tempo,Highest Danceability Song,Highest Danceability,Tracks With Features,Total Tracks
2024-11-04,Bang,Sir Sly,0.26,0.26,149.01,0.66,Bang,149.01,Bang,0.66,Bang,149.01,Bang,0.66,1,1
2024-11-11,I Wish U Didn't Hate Me So Much,Kit Major,118.06,847.17,133.89,0.674,YOU HAUNT ME,71.75,I Won't Hold My Breath,0.284,Sunset,203.83,not exactly happy.,0.975,212,263
2024-11-18,Beach Boulevard,London Mars,107.62,1293.97,127.55,0.676,Supernova,56.3,Seven Nation Army,0.293,Sunset,203.83,Climate Crisis Love Song,0.977,249,326
2024-11-25,UH YEAH [WAHNSiNN 01],TJ_beastboy,264.99,1545.25,139.88,0.685,PRETTY BOI,77.42,Digital Silence,0.312,Sunset,203.83,The Real Slim Shady,0.949,282,391
2024-12-02,Luvly,Belaganas,115.23,1895.81,126.28,0.706,YOU HAUNT ME,71.75,I Won't Hold My Breath,0.284,Sunset,203.83,not exactly happy.,0.975,357,469
2024-12-09,Rosaroter Tee,bac,288.23,1193.43,119.82,0.723,Street Brawling Millionaire,73.0,Digital Silence,0.312,Hangman Flows,202.07,DEATH,0.965,184,242
2024-12-16,Where's Your Head At,Basement Jaxx,40.0,2184.78,131.09,0.72,THE PROBLEM,72.14,I Won't Hold My Breath,0.284,MUGGLE,195.97,not exactly happy.,0.975,299,388
2024-12-23,Willy Wishbone,Cody Lawless,444.97,1033.58,138.54,0.684,Hate Thy Neighbour,78.61,SPINE,0.415,HEARTSTICKY!,195.94,not exactly happy.,0.975,36,48
2024-12-30,Rosaroter Tee,bac,41.29,1529.09,129.56,0.675,YOU HAUNT ME,71.75,Degrade Me,0.266,HEARTSTICKY!,195.94,Climate Crisis Love Song,0.977,313,416
2025-01-06,Lady Parts and Mannequins (Radio Edit),mehro,116.25,2518.76,128.7,0.675,Superstar Sh*t,70.03,Ancient Flame,0.25,Sunset,203.83,not exactly happy.,0.975,480,636
2025-01-13,Arbitrage,Modern Alibi,126.25,2206.33,125.33,0.69,YOU HAUNT ME,71.75,Monopoly Money,0.29,Monopoly Money,207.9,Climate Crisis Love Song,0.977,407,526
2025-01-20,Liberate Me,DYLYN,144.41,1670.64,132.48,0.682,YOU HAUNT ME,71.75,Degrade Me,0.266,Monopoly Money,207.9,Climate Crisis Love Song,0.977,302,376
2025-01-27,Healthy Sex Drive,Die Shiny,303.44,1466.85,123.32,0.734,Compare Myself To You,65.28,Compare Myself To You,0.231,Monopoly Money,207.9,GET USED TO ME,0.961,208,282
2025-02-03,ANYTHING 4 U,Naethan Apollo,155.78,834.02,124.08,0.727,Terry's Taxidermy,62.0,Monopoly Money,0.29,Monopoly Money,207.9,Cocoa Butter Kisses,0.946,194,234
2025-02-10,Hell Breaks Loose,Dalton Deschain & the Traveling Show,106.36,2487.36,128.16,0.673,memories we memories we share,52.98,Monopoly Money,0.29,Shades of Grey,218.44,Uninvited,0.956,234,289
2025-02-17,ANXIETY (feat. Doechii),Sleepy Hallow,39.3,1582.44,133.26,0.678,YOU HAUNT ME,71.75,Monopoly Money,0.29,Monopoly Money,207.9,MICHELIN CLUB,0.953,158,199
2025-02-24,deep dream,Sick Joy,144.66,1325.29,125.69,0.654,Call Me Devil,62.47,Monopoly Money,0.29,Monopoly Money,207.9,BlindLife,0.959,205,266
2025-03-03,You Don't Know Me (feat. RAYE),Jax Jones,52.24,1610.36,129.3,0.683,YOU HAUNT ME,71.75,Monopoly Money,0.29,Monopoly Money,207.9,Climate Crisis Love Song,0.977,310,389
2025-03-10,Anxiety,Doechii,96.97,1255.74,127.27,0.691,I Don't Mind It,74.96,Monopoly Money,0.29,Monopoly Money,207.9,My Doctor,0.93,110,133
2025-03-17,Running Around,Ely Oaks,306.03,1511.78,140.08,0.67,1975,74.95,Monopoly Money,0.29,Monopoly Money,207.9,Climate Crisis Love Song,0.977,196,259
2025-03-24,Flip The Bird,Downsyde,257.64,1116.15,120.79,0.709,THE PROBLEM,72.14,Hayloft II,0.326,Hangman Flows,202.07,GET USED TO ME,0.961,200,255
2025-03-31,Now It's Over,Dogpark,151.32,1631.61,127.3,0.686,Street Brawling Millionaire,73.0,Eternal Waltz,0.176,Sunset,203.83,DEATH,0.965,294,372
2025-04-07,Monster,YOASOBI,35.15,1343.8,126.99,0.687,YOU HAUNT ME,71.75,Degrade Me,0.266,Sunset,203.83,not exactly happy.,0.975,297,390
