Week Start,Top Song,Top Song Artist,Top Song Minutes,Total Minutes Played,Avg Tempo (Weighted),Avg Danceability (Weighted),Lowest Tempo Song,Lowest Tempo Artist,Lowest Tempo,Lowest Tempo Danceability,Lowest Danceability Song,Lowest Danceability Artist,Lowest Danceability,Lowest Danceability Tempo,Highest Tempo Song,Highest Tempo Artist,Highest Tempo,Highest Tempo Danceability,Highest Danceability Song,Highest Danceability Artist,Highest Danceability,Highest Danceability Tempo,Tracks With Features,Total Tracks
2018-06-04,Wolke 4,Philipp Dittberner,23.41,248.34,129.0,0.653,Hör auf deine Freunde,Montreal,75.01,0.543,Before You Go,ITCHY,0.358,148.98,Schockverliebt,Jennifer Rostock,179.73,0.44,Vultures,John Mayer,0.881,97.81,53,70
2018-06-11,Eure Mädchen,Kraftklub,52.1,675.17,146.77,0.556,Hör auf deine Freunde,Montreal,75.01,0.543,Alles war aus Gold,Bakkushan,0.396,203.91,Alles war aus Gold,Bakkushan,203.91,0.396,Shape of You,Ed Sheeran,0.825,95.98,28,38
2018-06-18,My Way,Royal Republic,21.51,109.23,155.75,0.536,Shape of You,Ed Sheeran,95.98,0.825,Scheissindiedisko,Kraftklub,0.475,160.99,My Way,Royal Republic,171.92,0.519,Shape of You,Ed Sheeran,0.825,95.98,13,18
2018-06-25,I Am Believing,CraftBattleDuty,4.84,33.26,131.53,0.58,Hör auf deine Freunde,Montreal,75.01,0.543,Ritalin/Medikinet,Kraftklub,0.43,159.11,Scheissindiedisko,Kraftklub,160.99,0.475,Cake By The Ocean,DNCE,0.774,119.0,9,11
2018-07-02,Rainbows in the Dark,Rockit Music,55.02,199.2,156.31,0.534,Hör auf deine Freunde,Montreal,75.01,0.543,Ritalin/Medikinet,Kraftklub,0.43,159.11,Schockverliebt,Jennifer Rostock,179.73,0.44,Shape of You,Ed Sheeran,0.825,95.98,18,23
2018-07-09,My Way,Royal Republic,22.83,50.77,168.72,0.505,Eure Mädchen,Kraftklub,163.01,0.479,Eure Mädchen,Kraftklub,0.479,163.01,My Way,Royal Republic,171.92,0.519,My Way,Royal Republic,0.519,171.92,2,3
2018-07-16,My Way,Royal Republic,32.16,94.55,169.2,0.502,Eure Mädchen,Kraftklub,163.01,0.479,Eure Mädchen,Kraftklub,0.479,163.01,Beyblade auf der ganzen Welt (Beyblade),Anime Allstars,184.03,0.481,My Way,Royal Republic,0.519,171.92,3,9
2018-07-23,Rainbows in the Dark,Rockit Music,32.6,197.65,156.82,0.507,High Times,Royal Republic,94.96,0.7,Gefahr,Bakkushan,0.325,220.04,Gefahr,Bakkushan,220.04,0.325,High Times,Royal Republic,0.7,94.96,38,41
2018-09-03,Kyouran Hey Kids!!,THE ORAL CIGARETTES,10.74,22.22,143.34,0.455,"Rising Rainbow (from ""Food Wars: Shokugeki no Soma"")",Jonathan Parecki,97.34,0.328,"Kibou no Uta (from ""Shokugeki no Soma: FOOD WARS!"")",Jonathan Parecki,0.173,176.93,Beyblade auf der ganzen Welt (Beyblade),Anime Allstars,184.03,0.481,"Kyouran Hey Kids (De ""Noragami Aragoto"")",Tragicômico,0.534,141.94,7,11
2018-09-10,Kyouran Hey Kids!!,THE ORAL CIGARETTES,0.5,0.5,142.02,0.526,Kyouran Hey Kids!!,THE ORAL CIGARETTES,142.02,0.526,Kyouran Hey Kids!!,THE ORAL CIGARETTES,0.526,142.02,Kyouran Hey Kids!!,THE ORAL CIGARETTES,142.02,0.526,Kyouran Hey Kids!!,THE ORAL CIGARETTES,0.526,142.02,1,1
